|viali    | 6:50:48 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 200 in 47ms :: {"id":…
0|viali    | 6:50:48 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 200 in 37ms :: {"id":…
0|viali    | 6:50:48 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 200 in 31ms :: {"id":…
0|viali    | 6:50:48 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 200 in 32ms :: {"id":…
0|viali    | 6:50:49 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 64ms :: {"id":…
0|viali    | 6:50:49 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 200 in 69ms :: {"id":…
0|viali    | 6:50:49 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 200 in 69ms :: {"id":…
0|viali    | 6:50:49 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 25ms :: {"id":…
0|viali    | 6:50:49 AM [express] GET /api/hospitals/fa075bd9-793d-450b-9a32-b33f8c712726/bulk-import-limit 304 i…
0|viali    | 6:50:49 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 19ms :: {"id":…
0|viali    | 6:50:52 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 23ms :: {"id":…
0|viali    | 6:50:54 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 20ms :: {"id":…
0|viali    | 6:50:56 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 23ms :: {"id":…
0|viali    | 6:51:13 AM [express] GET /api/hospitals/fa075bd9-793d-450b-9a32-b33f8c712726/bulk-import-limit 304 i…
0|viali    | 6:51:13 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 200 in 40ms :: {"id":…
0|viali    | 6:51:16 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 26ms :: {"id":…
0|viali    | 6:51:18 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 34ms :: {"id":…
0|viali    | 6:51:19 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 50ms :: {"id":…
0|viali    | 6:51:21 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 23ms :: {"id":…
0|viali    | 6:51:24 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 25ms :: {"id":…
0|viali    | 6:51:26 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 29ms :: {"id":…
