Name;Group
Etomidate 20mg i.v. 12 mg;Hypnotika
Midazolam (Dormicum) 5mg i.v. 1 mg;Hypnotika
Alfentanil (Rapifen) 1mg i.v. 0.5 mg;Opioide
Oxycodon (Oxygesic) 10mg i.v. 5 mg;Opioide
Piritramid (Dipidolor) 7.5mg i.v. 3 mg;Opioide
Sufentanil (Sufenta) i.v. 10 µg;Opioide
Atracurium (Tracrium) i.v. 30 mg;Muskelrelaxantien
Cisatracurium (Nimbex) 10mg i.v. 5 mg;Muskelrelaxantien
Mivacurium (Mivacron) i.v. 10 mg;Muskelrelaxantien
Succinylcholin (Lysthenon 2%) 100mg i.v. 80 mg;Muskelrelaxantien
Bupivacain 0.5% hyperbar (Carbostesin) spinal 1.5 ml;Lokalanästhetika
Chloroprocain 1% (Ampres) spinal 2.5 ml;Lokalanästhetika
Chloroprocain 2% (Ampres) perineural 20 ml;Lokalanästhetika
Mepivacain 1% (Scandicain) perineural 20 ml;Lokalanästhetika
Prilocain 1% (Xylonest) perineural 20 ml;Lokalanästhetika
Prilocain 1% (Xylonest) perineural 5 ml;Lokalanästhetika
Prilocain 1% mit Adrenalin s.c. 0.7 ml;Lokalanästhetika
Prilocain 2% (Takipril) spinal 1.5 ml;Lokalanästhetika
Rapidocain i.v. 40 mg;Lokalanästhetika
Ropivacain 0.2% (Naropin) perineural 10 ml;Lokalanästhetika
Ropivacain 0.375% (Naropin) perineural 20 ml;Lokalanästhetika
Ropivacain 0.75% (Naropin) perineural 10 ml;Lokalanästhetika
Ropivacain 1% (Naropin) perineural 5 ml;Lokalanästhetika
Dexketoprofen (Sympal Injekt) i.v. 50 mg;Nicht-Opioid-Analgetika
Diclofenac (Voltaren) supp. 100 mg;Nicht-Opioid-Analgetika
Diclofenac 75mg i.v. 75 mg;Nicht-Opioid-Analgetika
Ibuprofen Supp 60 mg;Nicht-Opioid-Analgetika
Metamizol (Novalgin) 1g i.v. 1 g;Nicht-Opioid-Analgetika
Metamizol (Novalgin) 2.5g Infusion 2.5 g;Nicht-Opioid-Analgetika
Paracetamol Supp 125 mg;Nicht-Opioid-Analgetika
Parecoxib (Dynastat) i.v. 40 mg;Nicht-Opioid-Analgetika
Toradol i.v. 30 mg;Nicht-Opioid-Analgetika
Dehydrobenzperidol (Xomolix) 2.5mg i.v. 1.25 mg;Antiemetika
Dexamethason (Fortecortin) 4mg i.v. 4 mg;Antiemetika
