nbchar;zcode;item type;text;codable;emitter;status;modification date;indent level;lateralite
1;C0;T;Massnahmen und Interventionen nicht anderswo klassifizierbar (00);non;;0;;1;
2;Z00;T;Massnahmen und Interventionen nicht anderswo klassifizierbar;non;;0;;2;
3;Z00.0;T;Therapeutischer Ultraschall;oui;;0;;3;
3;Z00.0;X;Desintegration von Harnsteinen mit Ultraschall (59.95);non;;0;;3;
3;Z00.0;X;Diagnostischer Ultraschall (nicht-invasiv) (88.7-);non;;0;;3;
3;Z00.0;X;Diagnostischer Ultraschall des Innenohrs - Diagnostische Verfahren an Mittel- und Innenohr, sonstige (20.39);non;;0;;3;
3;Z00.0;X;Extrakorporelle Stosswellen-Lithotripsie [ESWL] (98.5-);non;;0;;3;
3;Z00.0;X;Intrakardiale Echokardiographie [IKE] (37.28);non;;0;;3;
3;Z00.0;X;Intravaskuläre Bildgebung der Koronargefässe mittels Ultraschall (37.2A.11);non;;0;;3;
3;Z00.0;X;Intravaskuläre Bildgebung von Blutgefässen (00.21-00.28);non;;0;;3;
3;Z00.0;X;Magnetic resonance-guided focused ultrasound surgery [MRgFUS] (00.99.A4);non;;0;;3;
3;Z00.0;X;Perkutane Nephrostomie mit Desintegration von Steinmaterial durch Ultraschall (55.04.-);non;;0;;3;
3;Z00.0;X;Perkutan-transluminale Gefässintervention sonstige Gefässe, selektive Thrombolyse, ultraschallunterstützt (39.75.16);non;;0;;3;
3;Z00.0;X;Transurethrale (Ultraschall-) geführte laserinduzierte Prostatektomie [TULIP] (60.21.11);non;;0;;3;
3;Z00.0;X;Ultraschallablation (00.99.A3);non;;0;;3;
3;Z00.0;X;Ultraschall-Embolektomie und -Thrombektomie: Inzision von anderen Gefässen an Kopf und Hals (38.02.-);non;;0;;3;
3;Z00.0;X;Ultraschall-Embolektomie und -Thrombektomie: Inzision von intrakraniellen Gefässen (38.01);non;;0;;3;
3;Z00.0;X;Ultraschall-Endarteriektomie: Endarteriektomie von extrakraniellen Gefässen an Kopf und Hals (38.12);non;OFS;1;16.07.2025;3;
3;Z00.0;X;Ultraschall-Endarteriektomie: Endarteriektomie von intrakraniellen Gefässen (38.11);non;;0;;3;
3;Z00.0;X;Ultraschalluntersuchung des Auges (95.13);non;;0;;3;
3;Z00.0;X;Ultrasound-guided focused ultrasound surgery [USgFUS] (00.99.A5);non;;0;;3;
3;Z00.1;T;Pharmakon;non;;0;;3;
4;Z00.10;T;Implantation einer chemotherapeutischen Substanz;oui;;0;;4;
4;Z00.10;B;Interstitiell/ intrakavitär;non;;0;;4;
4;Z00.10;X;Verabreichung von Zytostatikum (99.25.-);non;;0;;4;
4;Z00.11;T;Infusion von Drotrecogin alfa (aktiviert);oui;;0;;4;
4;Z00.11;B;Infusion von rekombinantem Protein;non;;0;;4;
4;Z00.12;T;Inhalation von Stickstoffmonoxid, nach Dauer der Behandlung;non;;0;;4;
4;Z00.12;B;NO-Therapie;non;;0;;4;
4;Z00.12;B;Stickstoffmonoxid-Therapie;non;;0;;4;
5;Z00.12.0;T;Detail der Subkategorie 00.12;non;;0;;5;
6;Z00.12.00;T;Inhalation von Stickstoffmonoxid, Dauer der Behandlung bis 48 Stunden;oui;;0;;6;
6;Z00.12.01;T;Inhalation von Stickstoffmonoxid, Dauer der Behandlung von mehr als 48 Stunden bis 96 Stunden;oui;;0;;6;
6;Z00.12.02;T;Inhalation von Stickstoffmonoxid, Dauer der Behandlung von mehr als 96 Stunden;oui;;0;;6;
4;Z00.16;T;Unter Druck Behandlung von venösem Bypass-Graft [Conduit] mit Pharmazeutikum;oui;;0;;4;
4;Z00.16;B;Ex vivo Gefässbehandlung;non;;0;;4;
4;Z00.16;B;Hyperbar behandelter Graft [Conduit];non;;0;;4;
4;Z00.17;T;Infusion einer vasopressorischen Substanz;oui;;0;;4;
4;Z00.19;T;Unterbrechung der Blut-Hirn-Schranke [BHS] mittels Infusion;oui;;0;;4;
4;Z00.19;B;Infusion einer Lösung zur Unterbrechung der Blut-Hirn-Schranke;non;;0;;4;
4;Z00.19;S;Chemotherapie (99.25.5-);non;;0;;4;
4;Z00.19;X;Sonstige Perfusion (39.97.-);non;;0;;4;
3;Z00.2;T;Intravaskuläre Bildgebung von Blutgefässen;non;;0;;3;
3;Z00.2;B;Endovaskulärer Ultraschall;non;;0;;3;
3;Z00.2;B;Intravaskuläre Bildgebung (Ultraschall) von Blutgefässen;non;;0;;3;
3;Z00.2;B;Intravaskulärer Ultraschall [IVUS];non;;0;;3;
3;Z00.2;S;Jede gleichzeitige diagnostische oder therapeutische Massnahme;non;;0;;3;
3;Z00.2;X;Adjunktiv vaskuläre Massnahme, Anzahl von behandelten Gefässen (00.40-00.43);non;;0;;3;
3;Z00.2;X;Diagnostische Massnahmen an Blutgefässen (38.21-38.29);non;;0;;3;
3;Z00.2;X;Diagnostischer Ultraschall des peripheren vaskulären Systems (88.77);non;;0;;3;
3;Z00.2;X;Intravaskuläre Bildgebung der Koronargefässe (37.2A.1);non;;0;;3;
